name,image_url,design_color_id,typical_beer_id,alcohol_level,user_id,beer_family_id,heroku 
Cascadian East 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/b0498dff0eff3e644a3b22055a461af8c6e2c074_BBO033267_1.png,3,28,5.4,2,4,
Morgane 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/1a958970901ff850b65b7dbfe6e63735b77a73d3_BBO032050_1.png,3,28,5.5,2,4,
Brugse Zot 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/b8e5d91b04a96f5f46ff5a11a0452221fb1607fe_BBO030398_1.png,3,28,6,2,4,
John Martin's Pale Ale,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/2e22d48999e87417e7a910e34c60dc9ac82c2c2e_BBO031987_1.png,5,28,5.8,2,4,
Lancelot  33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/42720026fde6e5e5b82a2f7002555d0d77d6e15d_BBO032015_1.png,3,28,6,2,4,
Tak 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/79de62d29be98dc057d8255a2ca06b15985f98d4_BBO030258_1.png,3,28,5.5,2,4,
Dead Pony Club 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/9fb95aa6a34ab8213cd72d45b402a9efd2f4109a_BBO030345_1.png,3,28,3.8,2,4,
Orange Mécanique 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/0c867eab47355d984377dc5006ee549f8aae02c2_BBO032673_1.png,3,28,7,2,4,
Vagabond 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/a28fe231c7f5212d43ec503db1b79b981ffce97d_BBO030357_1.png,3,28,4.5,2,4,
Lorita 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/858eb152c044178a2669d340477230b28fccab47_BCA034134_1.png,3,28,4.7,2,4,
Dremmwel Blonde 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/818c90e23d68a2c4f7f8377fe7312ada93224213_BBO031938_1.png,3,28,5,2,4,
Ar-Men Blonde 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/eda172e78c60e2a82232bcc6f70e9b57ce4aeef8_BBO030166_1.png,3,28,5,2,4,
Ar-Men Dorée 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/0abe08658e861497bc57b8e6ba846732b24b01d5_BBO030168_1.png,3,28,7.7,2,4,
Pfungstadter Edelpils Premium Edition Mondial 2022 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/7e7fe9479c530c4e159bfe91a1c0daad22a9e1dc_BBO044662_1.png,3,7,4.9,2,10,
Mini-fût Ginette Refreshing Blond 6L,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e453aa40e716811ea042590b1927cee4aa27a507_BMI038975_1.png,3,7,4.5,2,10,
Pfungstadter Edelpils Premium 50 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/eccf59d560c6d5e81b89e147fabd3aa71df3c605_BBO041124_1.png,3,7,4.9,2,10,
